"","column","cor","p.adj"
"162","ACOT1",0.058860793066709,1
"163","ACOT11",0.349288798452287,1
"164","ACOT12",-0.122319353163941,1
"165","ACOT13",0.000381528433143964,1
"166","ACOT2",-0.153258488401648,1
"167","ACOT4",0.328656848062513,1
"168","ACOT6",0.0367360492491777,1
"169","ACOT7",0.160409018852664,1
"170","ACOT8",0.137013291608543,1
"171","ACOT9",0.241058680277824,1
"172","ACOX1",-0.0907834095534811,1
"173","ACOX2",-0.103544698979866,1
"174","ACOX3",-0.107373016283615,1
"175","ACOXL",0.0723316801361757,1
"176","ACP1",-0.173474387064448,1
"177","ACP2",0.0779043073222709,1
"178","ACP3",0.258331656178259,1
"179","ACP4",-0.403771582677201,0.954728379297879
"180","ACP5",0.370955252075835,1
"181","ACP6",0.0853841201268078,1
"182","ACP7",0.482339832300512,0.0145617938282355
"183","ACR",-0.0014604147575631,1
"184","ACRBP",-0.226789922205925,1
"185","ACRV1",-0.246858517254833,1
"186","ACSBG1",-0.235391628660174,1
"187","ACSBG2",-0.350078289473669,1
"188","ACSF2",0.263023804518783,1
"189","ACSF3",-0.0422282341874765,1
"190","ACSL1",-0.0789267391802883,1
"191","ACSL3",0.432740392925764,0.230613761897222
"192","ACSL4",0.175256000378338,1
"193","ACSL5",0.299994459481075,1
"194","ACSL6",-0.148498481439211,1
"195","ACSM1",0.286974987631692,1
"196","ACSM2A",-0.141714248075308,1
"197","ACSM2B",-0.121426192610263,1
"198","ACSM3",0.201662635217813,1
"199","ACSM4",0.0521455740733349,1
"200","ACSM5",-0.00272903150601366,1
"201","ACSM6",-0.0139662557914,1
"202","ACSS1",0.00481920122652504,1
"203","ACSS2",0.217243563509118,1
"204","ACSS3",-0.185119050083117,1
"205","ACTA1",0.128801296947472,1
"206","ACTA2",0.0754676704065552,1
"207","ACTB",0.172390624238714,1
"208","ACTBL2",0.315516562127904,1
"209","ACTC1",-0.0486062203802726,1
"210","ACTG1",0.11671414273902,1
"211","ACTG2",0.155218489992983,1
"212","ACTL10",0.0638927272796267,1
"213","ACTL6A",0.025329390562,1
"214","ACTL6B",-0.284859331042522,1
"215","ACTL7A",-0.0789858847557283,1
"216","ACTL7B",-0.0188061630370782,1
"217","ACTL8",-0.0765586429782412,1
"218","ACTL9",-0.0695201971690192,1
"219","ACTN1",0.276375649155223,1
"220","ACTN2",-0.176159817794048,1
"221","ACTN3",-0.0741939471980084,1
"222","ACTN4",0.171118016769552,1
"223","ACTR10",-0.0329467227847453,1
"224","ACTR1A",0.112500437470119,1
"225","ACTR1B",0.0135397127592425,1
"226","ACTR2",-0.0501165338030291,1
"227","ACTR3",-0.128176683444141,1
"228","ACTR3B",-0.179144079273449,1
"229","ACTR3C",0.214675529673608,1
"230","ACTR5",0.0271847389942113,1
"231","ACTR6",-0.00680700651041324,1
"232","ACTR8",-0.0829474393387574,1
"233","ACTRT1",-0.0188061630370782,1
"234","ACTRT2",-0.0695201971690192,1
"235","ACTRT3",0.215971364605293,1
"236","ACVR1",0.0374715210969204,1
"237","ACVR1B",0.249412029420207,1
"238","ACVR1C",0.0557326418295246,1
"239","ACVR2A",-0.0772820585140516,1
"240","ACVR2B",-0.215158971294524,1
"241","ACVRL1",0.109298626934711,1
"242","ACY1",0.147326131231058,1
"243","ACY3",0.0480243164321659,1
"244","ACYP1",0.0137531845809829,1
"245","ACYP2",0.0706921173381114,1
"246","ADA",0.190388868687989,1
"247","ADA2",-0.163063985966352,1
"248","ADAD1",-0.145727466211848,1
"249","ADAD2",0.0676053223034053,1
"250","ADAL",-0.3336868458197,1
"251","ADAM10",0.235445217556612,1
"252","ADAM11",-0.37543329433381,1
"253","ADAM12",-0.0343375276548936,1
"254","ADAM15",0.316685739639909,1
"255","ADAM17",0.090350103668899,1
"256","ADAM18",-0.165375531258909,1
"257","ADAM19",0.0784172363491967,1
"259","ADAM20",-0.0735744679116176,1
"260","ADAM21",0.0355706138200181,1
"261","ADAM22",-0.287533377586174,1
"262","ADAM23",-0.29897003784375,1
"263","ADAM28",0.113355543541469,1
"264","ADAM29",-0.123100053486791,1
"265","ADAM30",-0.0695201971690192,1
"266","ADAM32",-0.000294652192523487,1
"267","ADAM33",-0.173936231956172,1
"268","ADAM7",-0.131755774969571,1
"269","ADAM8",0.577594387223699,1.75465933131246e-05
"270","ADAM9",0.112228221881516,1
"271","ADAMDEC1",-0.0188061630370782,1
"272","ADAMTS1",0.186969562996266,1
"273","ADAMTS10",-0.228580561422896,1
"274","ADAMTS12",-0.0229039837199203,1
"275","ADAMTS13",-0.183489273856846,1
"276","ADAMTS14",-0.0450580108424305,1
"277","ADAMTS15",-0.18302466036535,1
"278","ADAMTS16",-0.152319609290619,1
"279","ADAMTS17",-0.222792536994502,1
"280","ADAMTS18",-0.110095798108602,1
"281","ADAMTS19",-0.155439669984822,1
"282","ADAMTS2",-0.294641705819451,1
"283","ADAMTS20",0.0961922896943475,1
"284","ADAMTS3",-0.261445775290314,1
"285","ADAMTS4",-0.246363157373864,1
"286","ADAMTS5",-0.18135269655235,1
"287","ADAMTS6",0.0270939056732451,1
"288","ADAMTS7",-0.26450323493683,1
"289","ADAMTS8",-0.061677164302712,1
"290","ADAMTS9",0.0197657714314746,1
"291","ADAMTSL1",-0.0973239819143116,1
"292","ADAMTSL2",-0.223614375963431,1
"293","ADAMTSL3",-0.0366104307060335,1
"294","ADAMTSL4",0.221746196646402,1
"295","ADAMTSL5",0.11367096340973,1
"296","ADAP1",0.440522560385365,0.153933715081886
"297","ADAP2",-0.0666173772680346,1
"298","ADAR",0.0256762006121525,1
"299","ADARB1",-0.124962812767639,1
"300","ADARB2",0.0464047886139149,1
"301","ADAT1",0.0481390100517913,1
"302","ADAT2",0.114541845043439,1
"303","ADAT3",-0.23294521624466,1
"304","ADCK1",-0.0548413634612435,1
"305","ADCK2",0.0050502576118848,1
"306","ADCK5",0.182658568299834,1
"307","ADCY1",-0.101044379360104,1
"308","ADCY10",-0.256673147109391,1
"309","ADCY2",-0.132302364174804,1
"310","ADCY3",-0.00216973637768123,1
"311","ADCY4",0.165373060598268,1
"312","ADCY5",-0.0663152206436969,1
"313","ADCY6",-0.01011055467707,1
"314","ADCY7",0.0319024588466061,1
"315","ADCY8",-0.0328723838035572,1
"316","ADCY9",-0.259850624240104,1
"317","ADCYAP1",-0.0753670978808453,1
"318","ADCYAP1R1",-0.0298465656231799,1
"319","ADD1",-0.165606321477064,1
"320","ADD2",-0.278714647948245,1
"321","ADD3",0.064532047480016,1
"323","ADGRA1",0.0219465427215025,1
"324","ADGRA2",-0.298658954447686,1
"325","ADGRA3",0.298712072072785,1
"326","ADGRB1",-0.217687784539454,1
"327","ADGRB2",-0.249168740760511,1
"328","ADGRB3",-0.145136887406835,1
"329","ADGRD1",-0.228911562276468,1
"330","ADGRD2",0.135705741639233,1
"331","ADGRE1",0.046179634138494,1
"332","ADGRE2",0.263148051614836,1
"333","ADGRE3",-0.0695201971690192,1
"334","ADGRE5",0.256650918691748,1
"335","ADGRF1",0.470889097549122,0.0286718226942197
"336","ADGRF3",-0.135559621964779,1
"337","ADGRF4",0.588335536848038,7.13981753032674e-06
"338","ADGRF5",0.276717048237903,1
"339","ADGRG1",0.312423886112628,1
"340","ADGRG2",-0.0668282371329343,1
"341","ADGRG3",0.127027368301316,1
"342","ADGRG4",-0.206268951908942,1
"343","ADGRG5",0.0934457323045133,1
"344","ADGRG6",0.244968380931264,1
"345","ADGRG7",0.16053418539256,1
"346","ADGRL1",-0.339277090886446,1
"347","ADGRL2",-0.0911874850658624,1
"348","ADGRL3",-0.0779950832024914,1
"349","ADGRL4",-0.121451041255847,1
"350","ADGRV1",-0.0596808068575996,1
"351","ADH1A",-0.0426076179523529,1
"352","ADH1B",-0.125910975456986,1
"353","ADH1C",-0.145307269808793,1
"354","ADH4",-0.268291496040915,1
"355","ADH5",-0.0646924606015396,1
"356","ADH6",-0.155960608594983,1
"357","ADH7",-0.0690058552060352,1
"358","ADHFE1",-0.107622082201835,1
"359","ADI1",-0.157714233745111,1
"360","ADIG",-0.0788038610491739,1
"361","ADIPOQ",-0.0886347802930252,1
"362","ADIPOR1",0.267730533742309,1
"363","ADIPOR2",0.191595244876195,1
"364","ADIRF",0.331016671565951,1
"365","ADK",0.291037489897043,1
"366","ADM",0.178851261737466,1
"367","ADM2",-0.040056564503432,1
"368","ADM5",-0.2380811350434,1
"369","ADNP",-0.302959673687987,1
"370","ADNP2",-0.0324467155649822,1
"371","ADO",-0.119466193440803,1
"372","ADORA1",-0.201818339728079,1
"373","ADORA2A",-0.101941646861335,1
"374","ADORA2B",0.436351292711264,0.191433937775347
"375","ADORA3",-0.0789858847557283,1
"376","ADPGK",0.110678714730448,1
"377","ADPRH",0.0930177259705827,1
"378","ADPRHL1",0.0403785514070001,1
