"","column","cor","p.adj","corr_order","label"
"9172","LARGE2",0.0794569180666782,1,2996,""
"9174","LARP1B",0.0283094476415078,1,1100,""
"9175","LARP4",0.0485037672733316,1,1859,""
"9176","LARP4B",0.0195736698888378,1,776,""
"9177","LARP6",0.153460391733925,1,5212,""
"9182","LASP1",0.0864017805296955,1,3264,""
"9184","LAT2",0.142430509461371,1,4926,""
"9185","LATS1",0.0134237823627056,1,549,""
"9187","LAX1",0.0967926225822077,1,3595,""
"9188","LAYN",0.177026451120377,1,5795,""
"9190","LBHD1",0.14699798414005,1,5046,""
"9191","LBHD2",0.138928778198348,1,4823,""
"9192","LBP",0.168495843629176,1,5583,""
"9194","LBX1",0.00850821098802283,1,333,""
"9196","LCA5",0.0796021566403187,1,3000,""
"9197","LCA5L",0.0222230780413815,1,888,""
"9199","LCE1A",0.0824009527770886,1,3093,""
"9200","LCE1B",0.172489004960168,1,5688,""
"9201","LCE1C",0.260883956063623,1,7421,""
"9203","LCE1E",0.0981756123987934,1,3637,""
"9204","LCE1F",0.0686640945189421,1,2604,""
"9205","LCE2A",0.190789953450483,1,6115,""
"9206","LCE2B",0.00236074926594198,1,102,""
"9207","LCE2C",0.0244513339357819,1,960,""
"9208","LCE2D",0.00503441552913712,1,199,""
"9209","LCE3A",0.0622069757666621,1,2363,""
"9210","LCE3B",0.0329099922373246,1,1272,""
"9211","LCE3C",0.0472227039312005,1,1817,""
"9212","LCE3D",0.207687641477035,1,6490,""
"9213","LCE3E",0.153372033919342,1,5210,""
"9214","LCE4A",0.0748679046435592,1,2824,""
"9215","LCE5A",0.238119268330834,1,7056,""
"9216","LCE6A",0.0742550547757356,1,2799,""
"9218","LCK",0.513273348646346,0.00205243655287582,9029,""
"9220","LCMT1",0.295209564796284,1,7889,""
"9222","LCN1",0.00987674891849815,1,383,""
"9224","LCN12",0.0341751814000584,1,1318,""
"9225","LCN15",0.0182937534578439,1,726,""
"9226","LCN2",0.612734119156311,8.14918955149564e-07,9113,""
"9231","LCOR",0.160230880165316,1,5385,""
"9233","LCP1",0.259829844101864,1,7409,""
"9237","LDAF1",0.404650918724374,0.91604907751822,8746,""
"9242","LDHA",0.333142029277681,1,8330,""
"9244","LDHAL6B",0.245050917572324,1,7172,""
"9248","LDLR",0.340713833294368,1,8375,""
"9249","LDLRAD1",0.132914656562778,1,4664,""
"9250","LDLRAD2",0.0105645029060435,1,418,""
"9251","LDLRAD3",0.0595129771595316,1,2273,""
"9253","LDLRAP1",0.344677828151376,1,8414,""
"9255","LEAP2",0.0727851976002762,1,2745,""
"9260","LEKR1",0.270868631344455,1,7555,""
"9261","LELP1",0.0792909168047271,1,2986,""
"9262","LEMD1",0.343749592729845,1,8404,""
"9263","LEMD2",0.103589226811768,1,3818,""
"9264","LEMD3",0.1096948069746,1,4012,""
"9266","LENG1",0.0154701648699736,1,627,""
"9268","LENG9",0.180418926686498,1,5879,""
"9271","LEPR",0.104438849277847,1,3846,""
"9272","LEPROT",0.232861947218987,1,6973,""
"9275","LETM2",0.107012362250842,1,3936,""
"9276","LETMD1",0.344925457249642,1,8416,""
"9279","LFNG",0.0524304462057837,1,2011,""
"9280","LGALS1",0.13314062948695,1,4672,"LGALS1"
"9281","LGALS12",0.0804230314152238,1,3027,""
"9285","LGALS2",0.207859978483162,1,6492,""
"9286","LGALS3",0.273988997606349,1,7607,""
"9287","LGALS3BP",0.120941495954082,1,4327,""
"9288","LGALS4",0.143896930154775,1,4964,""
"9289","LGALS7",0.214263621391117,1,6609,""
"9290","LGALS7B",0.387221519326248,1,8683,""
"9291","LGALS8",0.184278675232926,1,5968,""
"9292","LGALS9",0.22414013112239,1,6802,""
"9293","LGALS9B",0.567490602988613,3.97087953731511e-05,9095,""
"9294","LGALS9C",0.395389955825666,1,8716,""
"9295","LGALSL",0.0899332948692429,1,3369,""
"9296","LGI1",0.0687282245293152,1,2605,""
"9299","LGI4",0.156796449391141,1,5292,""
"9300","LGMN",0.200183378439807,1,6333,""
"9301","LGR4",0.276246902973725,1,7636,""
"9303","LGR6",0.116175293624444,1,4202,""
"9305","LHB",0.0255660314592802,1,1003,""
"9308","LHFPL2",0.168458556163803,1,5581,""
"9312","LHFPL6",0.0542610972117969,1,2087,""
"9314","LHPP",0.24154283426044,1,7104,""
"9315","LHX1",0.105881790548476,1,3902,""
"9317","LHX3",0.0119994814109017,1,485,""
"9319","LHX5",0.415430212399816,0.547777878869049,8795,""
"9323","LIAS",0.203871060708221,1,6399,""
"9324","LIF",0.203258149899509,1,6390,""
"9328","LIG4",0.255503680711924,1,7345,""
"9337","LILRB4",0.0285353320509054,1,1112,""
"9339","LIM2",0.0556117490968442,1,2130,""
"9340","LIMA1",0.435117949869159,0.204024163445952,8861,""
"9345","LIMK1",0.0529233288918522,1,2035,""
"9346","LIMK2",0.367637898341136,1,8566,""
"9350","LIMS4",0.012279355153456,1,502,""
"9353","LIN37",0.158774491121073,1,5350,""
"9358","LIN7C",0.0704400849018955,1,2658,""
"9363","LINC02218",0.135404373866963,1,4740,""
"9365","LINGO2",0.037009970914272,1,1431,""
"9368","LINS1",0.0865775737784708,1,3266,""
"9369","LIPA",0.18028157185695,1,5871,""
"9370","LIPC",0.0427614428169941,1,1647,""
"9373","LIPG",0.352931180375805,1,8472,""
"9374","LIPH",0.367153435311257,1,8563,""
"9377","LIPK",0.179483081468004,1,5849,""
"9378","LIPM",0.0886337399253293,1,3328,""
"9379","LIPN",0.0230403953373487,1,907,""
"9380","LIPT1",0.021924590148239,1,872,""
"9381","LIPT2",0.0677929350717127,1,2570,""
"9382","LITAF",0.455253939538827,0.0695213478772285,8927,""
"9388","LLGL1",0.0745701379323781,1,2810,""
"9389","LLGL2",0.165961512224241,1,5523,""
"9390","LLPH",0.102695741388555,1,3789,""
"9393","LMAN2",0.231093069239049,1,6939,""
"9396","LMBR1L",0.182038056385053,1,5923,""
"9398","LMBRD2",0.0737321899708859,1,2781,""
"9401","LMF2",0.0729459030494359,1,2751,""
"9402","LMLN",0.191447364104322,1,6126,""
"9403","LMNA",0.161528286176172,1,5418,""
"9406","LMNTD1",0.106650534463638,1,3923,""
"9410","LMO3",0.0338243460276062,1,1309,""
"9412","LMO7",0.0530181871710659,1,2039,""
"9417","LMTK3",0.295520507515868,1,7895,""
"9421","LNPEP",0.15352361777165,1,5213,""
