"","column","cor","p.adj","corr_order","label"
"394","SAMD4A",0.178876942681613,1,5027,""
"398","SERPINB1",0.288799428608818,2.81661012423271e-05,6098,""
"403","OSBPL5",0.0883920137262648,1,3164,""
"405","CPS1",0.00531254651195936,1,244,""
"406","C8B",0.0988290335755376,1,3462,""
"407","FHL1",0.0276408468192901,1,1141,""
"408","RTF2",0.139004391949397,1,4358,""
"413","ZNF839",0.0319709111091175,1,1316,""
"414","ZDHHC6",0.162541340467608,1,4788,""
"416","RNH1",0.2673205578252,0.000444000041466601,5945,""
"419","ERP44",0.290392215848406,2.27268656366749e-05,6103,""
"420","ALAS1",0.0207595704169497,1,859,""
"421","BIRC3",0.0017924942728988,1,75,""
"422","AKAP11",0.0139746112553282,1,599,""
"424","SNAPC1",0.147794572543054,1,4516,""
"425","DERA",0.00294735528459593,1,128,""
"426","STRAP",0.0395254020018118,1,1584,""
"428","DEF6",0.0263678381634801,1,1092,""
"431","UBR2",0.062689262869179,1,2411,""
"432","EHD2",0.372978494296687,4.59116607910195e-11,6384,""
"433","DEPDC1",0.172711986325994,1,4926,""
"440","TYMP",0.267534006282607,0.000432680737032634,5951,""
"442","TOMM34",0.10781011634697,1,3677,""
"443","SEC63",0.0901994071296519,1,3213,""
"444","KPNA6",0.125673013880209,1,4077,""
"445","VIM",0.0168341018695888,1,713,""
"446","FAS",0.127485593355652,1,4127,""
"448","CD44",0.305996559348497,2.58270762295799e-06,6171,""
"449","KCNG1",0.0171775374878195,1,723,""
"450","AGPAT4",0.398525508925241,3.38725299207219e-13,6443,""
"452","BTN3A1",0.0271832520532014,1,1119,""
"456","IFNGR1",0.203327711214344,0.397238625062887,5380,""
"457","B4GALT7",0.102406847907667,1,3540,""
"458","SH2D2A",0.316821240099779,5.27366575222226e-07,6214,""
"461","VEZT",0.236323579290782,0.0155255043546733,5702,""
"462","POU2F2",0.0396705399398588,1,1591,""
"463","BRD9",0.0672227863859658,1,2564,""
"465","TBPL1",0.0356231114333263,1,1439,""
